,Код,Название,url,text
31,ВАК 01.01.02,"Дифференциальные уравнения, динамические системы и оптимальное управление",https://teacode.com/online/vak/p01-01-02.html,"Шифр специальности:
01.01.02 Дифференциальные уравнения, динамические системы и оптимальное управление
Формула специальности:
Специальность «Дифференциальные уравнения, динамические системы и оптимальное управление» – область математики, посвященная изучению дифференциальных уравнений. Основными составными частями специальности являются обыкновенные дифференциальные уравнения и уравнения с частными производными. Главные научные цели специальности: исследование разрешимости дифференциальных уравнений, описание качественных и количественных характеристик решений, приложения.
Области исследований:
Общая теория дифференциальных уравнений и систем дифференциальных уравнений.Начально-краевые и спектральные задачи для дифференциальных уравнений и систем дифференциальных уравнений.Качественная теория дифференциальных уравнений и систем дифференциальных уравнений.Динамические системы, дифференциальные уравнения на многообразиях.Нелинейные дифференциальные уравнения и системы нелинейных дифференциальных уравнений.Аналитическая теория дифференциальных уравнений.Теория псевдодифференциальных операторов.Теория дифференциально-операторных уравнений.Теория дифференциально-функциональных уравнений.Асимптотическая теория дифференциальных уравнений и систем.Теория дифференциальных включений и вариационных неравенств.Дифференциальные уравнения и системы дифференциальных уравнений в задачах оптимального управления и вариационного исчисления.
Смежные специальности:
01.01.01 – Вещественный, комплексный и функциональный анализ
01.01.03 – Математическая  физика
Отрасль наук:
физико-математические науки "
32,ВАК 01.01.03,Математическая физика,https://teacode.com/online/vak/p01-01-03.html,"Шифр специальности:
01.01.03 Математическая физика
Формула специальности:
Специальность «Математическая физика» – область математики, посвященная исследованию математическими методами математических проблем, возникающих в механике, теоретической физике и др. естественных науках. Основные направления специальности: математические проблемы механики частиц и систем, механики твердого тела, механики жидкости и газа, оптики и электродинамики, квантовой теории, термодинамики, кинетики и статистической физики, теории относительности, гравитации и астрофизики, геофизики. Главные научные цели специальности: исследование математическими методами математических проблем, возникающих в указанных областях, приложение полученных результатов в математике, механике, теоретической физике и др. естественных науках, разработка соответствующего математического аппарата.
Области исследований:
Математические проблемы механики частиц и систем.Математические проблемы механики сплошной среды.Математические проблемы механики жидкости и газа.Математические проблемы оптики и электродинамики.Математические проблемы квантовой теории.Математические проблемы термодинамики, кинетики и статистической физики.Математические проблемы теории относительности, гравитации и астрофизики.Математические проблемы геофизики.
Смежные специальности:
01.01.01 – Вещественный, комплексный и функциональный анализ
01.01.02 – Дифференциальные уравнения, динамические системы и оптимальное управление
01.01.04 – Геометрия и топология
Отрасль наук:
физико-математические науки "
33,ВАК 01.01.04,Геометрия и топология,https://teacode.com/online/vak/p01-01-04.html,"Шифр специальности:
01.01.04 Геометрия и топология
Формула специальности:
Специальность «Геометрия и топология» – область математики, посвященная изучению геометрических структур, топологических пространств и их отображений. Основные составные части специальности: геометрия (в том числе дискретная), общая, алгебраическая и дифференциальная топология. Главные научные цели специальности: изучение геометрических и топологических структур, возникающих в математике и ее приложениях.
Области исследований:
Геометрия многообразий и различных геометрических структур.Дискретная и комбинаторная геометрия.Дифференциальная геометрия и ее приложения.Интегральная геометрия.Симплектическая, контактная и пуассонова геометрия.Общая топология.Алгебраическая топология.Топология гладких многообразий.Маломерная топология, включая теорию узлов и зацеплений.Топология и геометрия особенностей.Теория пространств отображений и пространств модулей различных геометрических структур.Топология и геометрия групп и однородных пространств.
Смежные специальности:
01.01.01 – Вещественный, комплексный и функциональный анализ
01.01.02 – Дифференциальные уравнения, динамические системы и оптимальное управление
01.01.03 – Математическая физика
01.01.06 – Математическая логика, алгебра и теория чисел
Отрасль наук:
физико-математические науки "
34,ВАК 01.01.05,Теория вероятностей и математическая статистика,https://teacode.com/online/vak/p01-01-05.html,"Шифр специальности:
01.01.05 Теория вероятностей и математическая статистика
Формула специальности:
Теория вероятностей и математическая статистика – разделы науки, в которых изучаются математические модели случайных явлений и объектов. Целью теории вероятностей является исследование универсальных математических закономерностей, лежащих в основе моделей случайных явлений, и приложение этих закономерностей к изучению свойств конкретных вероятностных моделей. Целью математической статистики является построение и исследование методов выбора математических моделей, наилучшим образом отражающих существенные особенности случайных данных, а также методов сбора, систематизации и обработки случайных данных.
Области исследований:
Аксиоматические модели случайных явлений.Распределения вероятностей и предельные теоремы.Комбинаторные и геометрические вероятностные задачи.Случайные процессы и поля.Оптимизационные и алгоритмические вероятностные задачи.Методы статистического анализа и вывода. Оценивание параметров. Проверка статистических гипотез.Статистика случайных процессов и полей.Некоммутативная теория вероятностей.Методы статистического моделирования.
Смежные специальности:
01.01.01 – Вещественный, комплексный и функциональный анализ
01.01.07 – Вычислительная математика
01.01.09 – Дискретная математика и математическая кибернетика
Отрасль наук:
физико-математические науки "
35,ВАК 01.01.06,"Математическая логика, алгебра и теория чисел",https://teacode.com/online/vak/p01-01-06.html,"Шифр специальности:
01.01.06 Математическая логика, алгебра и теория чисел
Формула специальности:
Специальность «Математическая логика, алгебра и теория чисел» – область науки, исследующая свойства целых чисел, изучающая множества с заданными на них алгебраическими операциями и отношениями; исследующая свойства множеств решений систем алгебраических уравнений; изучающая общее строение математических теорий, их моделей и алгоритмических процессов. Целью алгебры является изучение алгебраических структур, возникающих в математике и ее приложениях. Целью математической логики являются: изучение синтаксических и семантических свойств формализованных математических теорий и структурных свойств их семантических моделей; исследование алгоритмических процессов с заданными свойствами, нахождение взаимосвязей между доказуемостью, истинностью и вычислимостью. Целью теории чисел является исследование арифметических свойств математических объектов.
Области исследований:
Теория алгебраических структур (полугрупп, групп, колец, полей, модулей ит.д.).Алгебраическая геометрия.Алгебраическая и аналитическая теории чисел.Геометрия чисел.Группы и алгебры Ли.Теория представлений.Теория категорий и функторов.Теория моделей: изучение свойств семантических моделей для математических теорий.Теория доказательств (в том числе неклассические логики).Теория алгоритмов и вычислимых функций (в том числе алгоритмическая теория информации и теория сложности).Аксиоматическая теория множеств и нестандартный анализ.
Смежные специальности:
01.01.01 – Вещественный, комплексный и функциональный анализ (алгебра, логика и теория чисел)
01.01.02 – Дифференциальные уравнения, динамические системы и оптимальное управление (алгебра)
01.01.04 – Геометрия и топология (алгебра и логика)
01.01.09 – Дискретная математика и математическая кибернетика (логика) 

Отрасль наук: 

физико-математические науки
"
36,ВАК 01.01.07,Вычислительная математика,https://teacode.com/online/vak/p01-01-07.html,"Шифр специальности:
01.01.07 Вычислительная математика
Формула специальности:
Вычислительная математика – область науки, к которой относятся разработка и теория методов численного решения математических задач, возникающих при моделировании естественнонаучных и прикладных проблем, а также реализация методов в практическом решении задач с применением современных ЭВМ.
Области исследований:
К специальности относятся работы по следующим основным направлениям.
Создание алгоритмов численного решения задач алгебры, анализа, дифференциальных и интегральных уравнений, математической физики, теории вероятностей и статистики, типичных для приложений математики к различным областям науки и техники.Разработка теории численных методов, анализ и обоснование алгоритмов, вопросы повышения их эффективности.Особенности численных методов и связанных с ними программных комплексов, отражающие рост производительности современных ЭВМ и способствующие повышению эффективности вычислений.Реализация численных методов в решении прикладных задач, возникающих при математическом моделировании естественнонаучных и научно-технических проблем, соответствие выбранных алгоритмов специфике рассматриваемых задач.
Смежные специальности:
01.01.01 – Вещественный, комплексный и функциональный анализ
01.01.02 – Дифференциальные уравнения, динамические системы и оптимальное управление (в случае преобладания аналитических методов решения задач и исследования численных алгоритмов)
01.02.05 – Механика жидкости, газа и плазмы (в случаях, когда результаты расчетов динамики сплошной среды интересны в первую очередь с точки зрения механики)
01.04.02 – Теоретическая физика (в случае преобладания физических аспектов работы)
05.13.11 – Математическое и программное обеспечение вычислительных машин, комплексов и компьютерных сетей (в случае преобладания вопросов программирования и автоматизации расчетов)
05.13.18 – Математическое моделирование, численные методы и комплексы программ (в случае преобладания вопросов и результатов моделирования различных научных проблем)
Прочие специальности из «Номенклатуры специальностей научных работников» – в случаях, когда результаты численного решения конкретной проблемы оцениваются в первую очередь по их прикладному значению в соответствующей области.
Отрасль наук:
физико-математические науки "
37,ВАК 01.01.09,Дискретная математика и математическая кибернетика,https://teacode.com/online/vak/p01-01-09.html,"Шифр специальности:
01.01.09 Дискретная математика и математическая кибернетика
Формула специальности:
Содержание специальности охватывает шесть основных направлений:
Дискретная математика.Теория управляющих систем.Математическое программирование.Математическая теория исследования операций и теория игр.Математическая теория распознавания и классификации.Математическая теория оптимального управления.
Области исследований:
Первое и второе направления включают следующие разделы: теория функциональных систем и проблематика полноты; теория автоматов; теория графов и комбинаторный анализ; теория кодирования (алгебраические и комбинаторные вопросы); синтез и сложность управляющих систем (в частности сложность алгоритмов и вычислений); эквивалентные преобразования управляющих систем; контроль функционирования управляющих систем. Третье и четвертое направления включают разделы: методы минимизации функций (в частности минимизация дискретных функций, алгоритмы на графах); теория игр, теория исследования операций. Пятое направление примыкает к предыдущим, а также к проблематике теории вероятностей и математической статистики и математического анализа. Шестое направление является смежным с проблематикой дифференциальных уравнений.
Смежные специальности:
Внутри математики специальности:
01.01.02 – Дифференциальные уравнения, динамические системы и оптимальное управление
01.01.05 – Теория вероятностей и математическая статистика
01.01.06 – Математическая логика, алгебра и теория чисел
01.01.07 – Вычислительная математика
В других областях специальности:
05.13.01 – Системный анализ, управление и обработка информации
05.13.18 – Математическое моделирование, численные методы и комплексы программ 
08.00.13 – Математические методы и применение вычислительной техники в экономических исследованиях, планировании и управлении народным хозяйством и его отраслями Работы в смежных естественнонаучных направлениях относятся к дискретной математике и математической кибернетике, если в них содержатся результаты, связанные с разработкой математического аппарата. Если центр тяжести работы лежит в применении математических методов в другом естественнонаучном направлении, и в ней отсутствуют собственно математические результаты, работа относится к соответствующей специальности «Номенклатуры специальностей научных работников».
Отрасль наук:
физико-математические науки "
38,01.02.01,Теоретическая механика,p01-02-01.html,
39,01.02.04,Механика деформируемого твердого тела,p01-02-04.html,
40,01.02.05,"Механика жидкости, газа и плазмы",p01-02-05.html,
41,01.02.06,"Динамика, прочность машин, приборов и аппаратуры",p01-02-06.html,
42,01.02.08,Биомеханика,p01-02-08.html,
43,ВАК 01.02.01,Теоретическая механика,https://teacode.com/online/vak/p01-02-01.html,"Шифр специальности:
01.02.01 Теоретическая механика
Формула специальности:
Теоретическая механика – область механики, посвященная исследованию движения механических систем, а также управления их движением. Основными моделями, изучаемыми специальностью «Теоретическая механика», являются, как правило, системы материальных точек и абсолютно твердых тел. Главные научные цели специальности – разработка и исследование теоретико-механических моделей материальных систем, описание качественных и количественных характеристик этих моделей, приложения. Основные этапы исследования включат в себя постановку задачи, выбор корректной теоретико-механической модели, разработку и применение методов общей механики для исследования поставленной задачи, изучение полученных решений.
Области исследований:
К специальности относятся работы по следующим направлениям.
Общая механика. Аналитическая механика.Теория устойчивости движения механических систем.Управление движением механических систем, теория гироскопических и навигационных систем.Механика твердого тела и систем твердых тел. Динамика биомеханических систем.Колебания механических систем.Прикладная небесная механика.Механика робототехнических и мехатронных систем.
Смежные специальности:
К работам по смежным направлениям относятся: 
в случае преобладания общетеоретических вопросов управления – к специальности 05.13.01 – Системный анализ, управление и обработка информации 
в случае преобладания вопросов расчета и проектирования конкретных гироскопических и навигационных приборов – к специальности 01.02.06 – Динамика, прочность машин, приборов и аппаратуры или к специальности
05.11.03 – Приборы навигации в случае преобладания вопросов расчета и проектирования конкретных машин и механизмов – к специальности 01.02.06 – Динамика, прочность машин, приборов и аппаратуры 
в случае преобладания общеастрономических вопросов – к специальности
01.03.01 – Астрометрия и небесная механика в случае преобладания вопросов расчета и конструирования конкретных робототехнических систем – к специальности 05.02.05 – Роботы, мехатроника и робототехнические системы в случае преобладания вопросов теории устойчивости дифференциальных уравнений в частных производных – к специальностям 01.02.04 – Механика твердого деформируемого тела и 01.02.05 – Механика жидкости и газа
Отрасль наук:
технические науки (для работ прикладного направления) 
физико-математические науки (для работ фундаментального направления) "
44,ВАК 01.02.04,Механика деформируемого твердого тела,https://teacode.com/online/vak/p01-02-04.html,"Шифр специальности:
01.02.04 Механика деформируемого твердого тела
Формула специальности:
Механика деформируемого твердого тела – область науки и техники, изучающая закономерности процессов деформирования, повреждения и разрушения материалов различной природы, а также напряженно деформированное состояние твердых тел из этих материалов, при механических, тепловых, радиационных, статических и динамических воздействиях в пассивных и активных, газовых и жидких средах и полях различной природы. Целью механики деформируемого твердого тела являются:

 установление законов деформирования, повреждения и разрушения материалов;
  разработка методов постановки и методов решения краевых задач для прогноза поведения деформируемых твердых тел различной природы при разнообразных воздействиях;
 выявление новых связей между структурой материалов, характером внешних воздействий и процессами деформирования и разрушения;
 решения технологических проблем деформирования и разрушения, а также предупреждения недопустимых деформаций и трещин в конструкциях различного назначения;
 планирование, проведение и интерпретация экспериментальных данных по изучению деформирования, повреждения и разрушения материалов.

Области исследований:
Законы деформирования, повреждения и разрушения материалов, в том числе природных, искусственных и вновь создаваемых.Теория моделей деформируемых тел с простой и сложной структурой.Мезомеханика многоуровневых сред со структурой.Механика композиционных и интеллектуальных материалов и конструкций.Теория упругости, пластичности и ползучести.Теория накопления повреждений, механика разрушения твердых тел и критерии прочности при сложных режимах нагружения.Постановка и решение краевых задач для тел различной конфигурации и структуры при механических, электромагнитных, радиационных, тепловых и прочих воздействиях, в том числе применительно к объектам новой техники.Математические модели и численные методы анализа применительно к задачам, не допускающим прямого аналитического исследования.Экспериментальные методы исследования процессов деформирования, повреждения и разрушения материалов, в том числе объектов, испытывающих фазовые структурные превращения при внешних воздействиях.
Смежные специальности:
01.02.05 – Механика жидкости, газа и плазмы
01.04.06 – Акустика
01.04.17 – Химическая физика, горение и взрыв, физика экстремальных состояний вещества
05.13.18 – Математическое моделирование, численные методы и комплексы программ
05.23.17 – Строительная механика
25.00.03 – Геотектоника и геодинамика
05.07.03 – Прочность и тепловые режимы летательных аппаратов
05.02.04 – Трение и износ в машинах
05.02.11 – Методы контроля и диагностики в машиностроении
05.02.07 – Технологии и оборудование механической и физико-технической обработки
05.02.09 – Технологии и машины обработки давлением
05.04.11 – Атомное реакторостроение, машины, агрегаты и технология материалов атомной промышленности
05.16.05 – Обработка металлов давлением
05.16.06 – Порошковая металлургия и композиционные материалы К смежным могут быть отнесены те специальности физико-математических (код 01.00.00) и технических (05.00.00) наук, которые определяют специфику материалов, внешних воздействий, практических приложений, либо методологию исследований. Исследования по смежным специальностям носят подчиненный, вспомогательный характер. В соответствии с этим список смежных специальностей может быть расширен.
Родственные специальности:
01.01.07 – Вычислительная математика
01.02.01 – Теоретическая механика
01.02.06 – Динамика, прочность машин, приборов и аппаратуры
01.02.08 – Биомеханика
01.04.02 – Теоретическая физика
05.16.09 – Материаловедение & amp; amp; amp; amp; quot; (по отраслям)
Отрасль наук:
технические науки (для работ преимущественно прикладного направления) 
физико-математические науки (для работ преимущественно фундаментального направления) "
45,ВАК 01.02.05,"Механика жидкости, газа и плазмы",https://teacode.com/online/vak/p01-02-05.html,"Шифр специальности:
01.02.05 Механика жидкости, газа и плазмы
Формула специальности:
Механика жидкости, газа и плазмы – область естественных наук, изучающая на основе идей и подходов кинетической теории и механики сплошной среды процессы и явления, сопровождающие течения однородных и многофазных сред при механических, тепловых, электромагнитных и прочих воздействиях, а также происходящие при взаимодействии текучих сред с движущимися или неподвижными телами. Задачей механики жидкости, газа и плазмы является построение и исследование математических моделей для описания параметров потоков движущихся сред в широком диапазоне условий, проведение экспериментальных исследований течений и их взаимодействия с телами и интерпретация экспериментальных данных с целью прогнозирования и контроля природных явлений и технологических процессов, включающих движения текучих сред, а также разработки перспективных космических, летательных и плавательных аппаратов.
Области исследований:
Реологические законы поведения текучих однородных и многофазных сред при механических и других воздействиях.Гидравлические модели и приближенные методы расчетов течений в водоемах, технологических устройствах и энергетических установках.Ламинарные и турбулентные течения.Течения сжимаемых сред и ударные волны.Динамика разреженных газов и молекулярная газодинамика.Течения многофазных сред (газожидкостные потоки, пузырьковые среды, газовзвеси, аэрозоли, суспензии и эмульсии).Фильтрация жидкостей и газов в пористых средах.Физико-химическая гидромеханика (течения с химическими реакциями, горением, детонацией, фазовыми переходами, при наличии излучения и др.).Аэродинамика и теплообмен летательных аппаратов.Гидромеханика плавающих тел.Пограничные слои, слои смешения, течения в следе.Струйные течения. Кавитация в капельных жидкостях.Гидродинамическая устойчивость.Линейные и нелинейные волны в жидкостях и газах.Тепломассоперенос в газах и жидкостях.Гидромеханика сред, взаимодействующих с электромагнитным полем. Динамика плазмы.Экспериментальные методы исследования динамических процессов в жидкостях и газах.Аналитические, асимптотические и численные методы исследования уравнений кинетических и континуальных моделей однородных и многофазных сред (конечно-разностные, спектральные, методы конечного объема, методы прямого моделирования и др.).Гидродинамические модели природных процессов и экосистем.
Смежные специальности:
01.01.07 – Вычислительная математика 
01.02.01– Теоретическая механика
01.02.04 – Механика деформируемого твердого тела
01.02.08 – Биомеханика
01.04.02 – Теоретическая физика
01.04.06 – Акустика
01.04.17 – Химическая физика, горение и взрыв, физика экстремальных состояний вещества
05.13.18 – Математическое моделирование, численные методы и комплексы программ
Родственные специальности:
01.01.07 – Вычислительная математика
01.02.01 – Теоретическая механика
01.02.04 – Механика деформируемого твердого тела
01.02.08 – Биомеханика
01.04.02 – Теоретическая физика
01.04.06 – Акустика
01.04.17 – Химическая физика, горение и взрыв, физика экстремальных состояний вещества
05.13.18 – Математическое моделирование, численные методы и комплексы программ
Отрасль наук:
технические науки 
физико-математические науки  "
